car-id,car-type,cluster,proj_x,proj_y
20150001010009-284,3,0,110985.23,-115429.766
20150001050042-811,1,1,-142642.62,-113353.945
20150001060025-421,2,0,50089.83,-117330.59
20150001070000-174,1,2,42899.523,100912.234
20150001070006-104,1,2,42672.816,147688.88
20150001080008-525,3,3,-172042.75,110044.78
20150001080044-124,1,3,-177546.27,69103.055
20150001090048-374,1,0,98329.305,-138427.1
20150001100019-538,1,0,72921.44,-113514.47
20150001110028-155,1,0,185052.69,-141817.47
20150001120031-180,2P,-1,76674.625,-137889.98
20150002060008-683,4,3,-179084.53,168946.55
20150002060024-302,2,4,95983.97,21877.426
20150002070024-376,2,4,202038.72,42308.797
20150002080017-383,1,4,122387.24,30441.434
20150002080040-921,5,0,172211.83,-133360.5
20150002080057-495,3,3,-182268.3,110961.664
20150002120037-795,1,4,133159.36,52730.184
20150003010039-281,2,5,67165.55,-86158.79
20150003020050-522,2,4,162168.3,43889.3
20150003040042-47,1,4,163454.06,124538.81
20150003060007-767,1,2,128241.31,158393.05
20150003080058-668,3,2,63582.78,61038.43
20150003090016-90,5,0,82260.11,-119235.87
20150003090030-424,3,3,-174056.88,97001.47
20150004010010-724,2,2,79060.83,71311.69
20150004010027-232,3,3,-194554.45,68373.86
20150004010051-792,1,4,163268.77,39335.996
20150004030017-259,1,3,-194970.5,74035.984
20150004030033-995,5,6,-151825.67,-96511.664
20150004050003-330,1,7,-200337.31,-76040.44
20150004050011-484,3,4,66072.38,61591.266
20150004070037-579,4,4,189197.8,124031.77
20150004100026-651,2,3,-181590.95,122206.586
20150004110002-747,4,5,44919.312,-88449.33
20150004120029-367,2,4,188197.28,56674.086
20150005020044-437,1,2,101807.99,95536.71
20150005030012-864,6,3,-179977.81,150896.12
20150005080045-118,1,2,82958.65,126824.63
20150005110029-714,3,8,29626.31,-91494.89
20150005120027-336,1,3,-194634.78,65260.793
20150006010020-419,1,3,-193713.95,90104.33
20150006030021-893,4,3,-194520.98,76033.33
20150006030042-85,5,6,-151940.1,-97198.8
20150006040002-269,4,5,77348.33,-90711.34
20150006070008-822,1,9,-123575.5,-128725.56
